"date","group","subject","team","stage","round","condition","type","response1","error1","comment","RT"
"2018_6_7_10_30_50","93","1","1","1","1","forced","NULL","1","NULL","actual_number: 4","2.41"
"2018_6_7_10_30_59","93","2","1","2","1","forced","NULL","6","NULL","actual_number: 6","1.59"
"2018_6_7_10_31_13","93","1","1","1","2","forced","NULL","6","NULL","actual_number: 1","1.4"
"2018_6_7_10_31_20","93","2","1","2","2","forced","NULL","6","NULL","actual_number: 6","1.36"
"2018_6_7_10_31_37","93","1","1","1","3","forced","NULL","5","NULL","actual_number: 5","1.32"
"2018_6_7_10_31_45","93","2","1","2","3","forced","NULL","5","NULL","actual_number: 5","1.17"
"2018_6_7_12_2_59","1","3","2","1","1","forced","NULL","2","NULL","actual_number: 2","4.36"
"2018_6_7_12_3_0","1","1","1","1","1","forced","NULL","3","NULL","actual_number: 3","5.92"
"2018_6_7_12_3_8","1","4","2","2","1","forced","NULL","3","NULL","actual_number: 3","2.46"
"2018_6_7_12_3_29","1","3","2","1","2","forced","NULL","4","NULL","actual_number: 4","2.81"
"2018_6_7_12_3_35","1","4","2","2","2","forced","NULL","4","NULL","actual_number: 4","1.69"
"2018_6_7_12_3_53","1","3","2","1","3","forced","NULL","6","NULL","actual_number: 1","3.27"
"2018_6_7_12_4_1","1","5","3","1","1","forced","NULL","5","NULL","actual_number: 5","6.35"
"2018_6_7_12_4_2","1","4","2","2","3","forced","NULL","6","NULL","actual_number: 6","2.79"
"2018_6_7_12_4_21","1","6","3","2","1","forced","NULL","4","NULL","actual_number: 4","6.57"
"2018_6_7_12_4_41","1","5","3","1","2","forced","NULL","6","NULL","actual_number: 2","1.6"
"2018_6_7_12_4_53","1","6","3","2","2","forced","NULL","6","NULL","actual_number: 5","3.77"
"2018_6_7_12_5_3","1","2","1","2","1","forced","NULL","5","NULL","actual_number: 5","4.34"
"2018_6_7_12_5_9","1","5","3","1","3","forced","NULL","6","NULL","actual_number: 3","1.88"
