"date","group","subject","team","label","response","comment"
"2018_9_26_11_6_30","1","10","5","roll301","5","actual_number: 10; reaction_time: 12.92"
"2018_9_26_11_6_40","1","10","5","roll302","3","actual_number: 10; reaction_time: 7.14"
"2018_9_26_11_6_42","1","2","1","roll301","3","actual_number: 10; reaction_time: 12.1"
"2018_9_26_11_6_44","1","9","5","roll301","2","actual_number: 10; reaction_time: 16.41"
"2018_9_26_11_6_47","1","3","2","roll301","6","actual_number: 10; reaction_time: 17.18"
"2018_9_26_11_6_49","1","4","2","roll301","1","actual_number: 10; reaction_time: 18.31"
"2018_9_26_11_6_50","1","10","5","roll303","6","actual_number: 10; reaction_time: 7.97"
"2018_9_26_11_6_50","1","8","4","roll301","4","actual_number: 10; reaction_time: 15.11"
"2018_9_26_11_6_55","1","2","1","roll302","3","actual_number: 10; reaction_time: 9.88"
"2018_9_26_11_6_56","1","1","1","roll301","3","actual_number: 10; reaction_time: 13.51"
"2018_9_26_11_6_56","1","9","5","roll302","3","actual_number: 10; reaction_time: 9.66"
"2018_9_26_11_7_1","1","4","2","roll302","6","actual_number: 10; reaction_time: 9.94"
"2018_9_26_11_7_2","1","8","4","roll302","4","actual_number: 10; reaction_time: 8.68"
"2018_9_26_11_7_3","1","3","2","roll302","2","actual_number: 10; reaction_time: 13.56"
"2018_9_26_11_7_6","1","10","5","roll304","5","actual_number: 10; reaction_time: 5.88"
"2018_9_26_11_7_7","1","2","1","roll303","1","actual_number: 10; reaction_time: 9.72"
"2018_9_26_11_7_8","1","9","5","roll303","2","actual_number: 10; reaction_time: 9.66"
"2018_9_26_11_7_8","1","1","1","roll302","4","actual_number: 10; reaction_time: 10.39"
"2018_9_26_11_7_10","1","8","4","roll303","6","actual_number: 10; reaction_time: 6.36"
"2018_9_26_11_7_12","1","3","2","roll303","6","actual_number: 10; reaction_time: 6.06"
"2018_9_26_11_7_14","1","4","2","roll303","1","actual_number: 10; reaction_time: 10.1"
"2018_9_26_11_7_14","1","10","5","roll305","4","actual_number: 10; reaction_time: 5.6"
"2018_9_26_11_7_19","1","1","1","roll303","4","actual_number: 10; reaction_time: 8.55"
"2018_9_26_11_7_22","1","2","1","roll304","3","actual_number: 10; reaction_time: 7.48"
"2018_9_26_11_7_22","1","10","5","roll306","4","actual_number: 10; reaction_time: 5.9"
"2018_9_26_11_7_27","1","3","2","roll304","1","actual_number: 10; reaction_time: 7.11"
"2018_9_26_11_7_27","1","7","4","roll301","6","actual_number: 10; reaction_time: 38.45"
"2018_9_26_11_7_32","1","2","1","roll305","1","actual_number: 10; reaction_time: 8"
"2018_9_26_11_7_37","1","10","5","roll307","1","actual_number: 10; reaction_time: 6.46"
"2018_9_26_11_7_37","1","3","2","roll305","3","actual_number: 10; reaction_time: 8.08"
"2018_9_26_11_7_37","1","7","4","roll302","4","actual_number: 10; reaction_time: 7.7"
"2018_9_26_11_7_38","1","9","5","roll304","1","actual_number: 10; reaction_time: 20.32"
"2018_9_26_11_7_38","1","8","4","roll304","4","actual_number: 10; reaction_time: 6.55"
"2018_9_26_11_7_40","1","4","2","roll304","2","actual_number: 10; reaction_time: 7.38"
"2018_9_26_11_7_41","1","2","1","roll306","4","actual_number: 10; reaction_time: 6.8"
"2018_9_26_11_7_42","1","6","3","roll301","6","actual_number: 10; reaction_time: 32.24"
"2018_9_26_11_7_44","1","1","1","roll304","3","actual_number: 10; reaction_time: 9.99"
"2018_9_26_11_7_46","1","10","5","roll308","1","actual_number: 10; reaction_time: 6.46"
"2018_9_26_11_7_47","1","3","2","roll306","4","actual_number: 10; reaction_time: 6.79"
