"date","group","subject","team","stage","round","condition","type","response1","error1","comment","RT"
"2018_9_26_11_14_17","1","7","4","1","1","forced","NULL","6","NULL","actual_number: 7","7.95"
"2018_9_26_11_14_33","1","8","4","2","1","forced","NULL","1","NULL","actual_number: 7","6.86"
"2018_9_26_11_14_57","1","7","4","1","2","forced","NULL","6","NULL","actual_number: 7","8.95"
"2018_9_26_11_15_22","1","8","4","2","2","forced","NULL","6","NULL","actual_number: 7","18.41"
"2018_9_26_11_15_47","1","7","4","1","3","forced","NULL","5","NULL","actual_number: 7","8.11"
"2018_9_26_11_15_57","1","8","4","2","3","forced","NULL","5","NULL","actual_number: 7","5.97"
"2018_9_26_11_16_39","1","7","4","1","4","forced","NULL","6","NULL","actual_number: 7","6.13"
"2018_9_26_11_16_47","1","3","2","1","1","forced","NULL","3","NULL","actual_number: 7","7.81"
"2018_9_26_11_16_51","1","8","4","2","4","forced","NULL","2","NULL","actual_number: 7","5.65"
"2018_9_26_11_16_59","1","4","2","2","1","forced","NULL","2","NULL","actual_number: 7","6.61"
"2018_9_26_11_17_9","1","7","4","1","5","forced","NULL","6","NULL","actual_number: 7","5.68"
"2018_9_26_11_17_17","1","8","4","2","5","forced","NULL","4","NULL","actual_number: 7","1.4"
"2018_9_26_11_17_22","1","3","2","1","2","forced","NULL","5","NULL","actual_number: 7","8.97"
"2018_9_26_11_17_32","1","4","2","2","2","forced","NULL","2","NULL","actual_number: 7","4.43"
"2018_9_26_11_17_35","1","7","4","1","6","forced","NULL","5","NULL","actual_number: 7","6.87"
"2018_9_26_11_17_37","1","1","1","1","1","forced","NULL","2","NULL","actual_number: 7","13.01"
"2018_9_26_11_17_46","1","8","4","2","6","forced","NULL","4","NULL","actual_number: 7","6.07"
"2018_9_26_11_17_54","1","2","1","2","1","forced","NULL","4","NULL","actual_number: 7","9.07"
"2018_9_26_11_18_0","1","3","2","1","3","forced","NULL","4","NULL","actual_number: 7","4.49"
"2018_9_26_11_18_11","1","4","2","2","3","forced","NULL","1","NULL","actual_number: 7","3.25"
"2018_9_26_11_18_17","1","1","1","1","2","forced","NULL","4","NULL","actual_number: 7","6.62"
"2018_9_26_11_18_27","1","5","3","1","1","forced","NULL","4","NULL","actual_number: 7","17.47"
"2018_9_26_11_18_32","1","2","1","2","2","forced","NULL","2","NULL","actual_number: 7","8.24"
"2018_9_26_11_18_42","1","7","4","1","7","forced","NULL","6","NULL","actual_number: 7","6.06"
"2018_9_26_11_18_48","1","8","4","2","7","forced","NULL","2","NULL","actual_number: 7","1.27"
"2018_9_26_11_18_50","1","3","2","1","4","forced","NULL","6","NULL","actual_number: 7","4.73"
"2018_9_26_11_18_50","1","6","3","2","1","forced","NULL","5","NULL","actual_number: 7","11.62"
"2018_9_26_11_18_53","1","1","1","1","3","forced","NULL","1","NULL","actual_number: 7","6.26"
"2018_9_26_11_18_59","1","4","2","2","4","forced","NULL","6","NULL","actual_number: 7","3.94"
"2018_9_26_11_19_5","1","2","1","2","3","forced","NULL","4","NULL","actual_number: 7","6.98"
"2018_9_26_11_19_5","1","7","4","1","8","forced","NULL","4","NULL","actual_number: 7","3.31"
"2018_9_26_11_19_15","1","3","2","1","5","forced","NULL","3","NULL","actual_number: 7","2.95"
"2018_9_26_11_19_18","1","5","3","1","2","forced","NULL","2","NULL","actual_number: 7","9.7"
"2018_9_26_11_19_19","1","8","4","2","8","forced","NULL","5","NULL","actual_number: 7","4.09"
"2018_9_26_11_19_28","1","4","2","2","5","forced","NULL","6","NULL","actual_number: 7","1.99"
"2018_9_26_11_19_33","1","6","3","2","2","forced","NULL","3","NULL","actual_number: 7","7.64"
"2018_9_26_11_19_37","1","7","4","1","9","forced","NULL","6","NULL","actual_number: 7","5.65"
"2018_9_26_11_19_42","1","8","4","2","9","forced","NULL","6","NULL","actual_number: 7","1.23"
"2018_9_26_11_19_50","1","3","2","1","6","forced","NULL","4","NULL","actual_number: 7","11.39"
"2018_9_26_11_19_53","1","1","1","1","4","forced","NULL","6","NULL","actual_number: 7","7.22"
"2018_9_26_11_19_56","1","5","3","1","3","forced","NULL","4","NULL","actual_number: 7","7.38"
"2018_9_26_11_20_1","1","4","2","2","6","forced","NULL","5","NULL","actual_number: 7","4.28"
"2018_9_26_11_20_6","1","2","1","2","4","forced","NULL","6","NULL","actual_number: 7","6.61"
"2018_9_26_11_20_8","1","6","3","2","3","forced","NULL","3","NULL","actual_number: 7","6.43"
"2018_9_26_11_20_30","1","1","1","1","5","forced","NULL","3","NULL","actual_number: 7","8.27"
"2018_9_26_11_20_35","1","3","2","1","7","forced","NULL","1","NULL","actual_number: 7","4.48"
"2018_9_26_11_20_41","1","2","1","2","5","forced","NULL","6","NULL","actual_number: 7","6.63"
