Session,SessionSubject,Team,MoverNo,RoundNo,Report,RT,Order,Block,Rewards,Effort,Double,ParticipantId
11,1,1,1,1,6,8.39,1,1,FirstMover,LowEffort,1,fishy_clam
11,2,1,2,1,6,4.03,1,1,FirstMover,LowEffort,1,nerdy_joey
11,3,2,1,1,5,5.92,1,1,FirstMover,LowEffort,1,coy_kite
11,4,2,2,1,5,4.54,1,1,FirstMover,LowEffort,1,scary_pony
11,5,3,1,1,6,16.79,1,1,FirstMover,LowEffort,1,taut_geese
11,6,3,2,1,6,9.24,1,1,FirstMover,LowEffort,1,oozy_skink
11,7,4,1,1,4,9.36,1,1,FirstMover,LowEffort,0,happy_lark
11,8,4,2,1,3,4.9,1,1,FirstMover,LowEffort,0,loopy_cub
11,9,5,1,1,3,3.35,1,1,FirstMover,LowEffort,1,wavy_coypu
11,10,5,2,1,3,6.7,1,1,FirstMover,LowEffort,1,well_orca
11,11,6,1,1,6,6.22,1,1,FirstMover,LowEffort,0,cute_yapok
11,12,6,2,1,1,7.94,1,1,FirstMover,LowEffort,0,regal_asp
11,1,1,1,2,5,10.13,1,1,FirstMover,LowEffort,0,fishy_clam
11,2,1,2,2,4,5.5,1,1,FirstMover,LowEffort,0,nerdy_joey
11,3,2,1,2,1,9.4,1,1,FirstMover,LowEffort,0,coy_kite
11,4,2,2,2,3,3.7,1,1,FirstMover,LowEffort,0,scary_pony
11,5,3,1,2,6,9.61,1,1,FirstMover,LowEffort,0,taut_geese
11,6,3,2,2,3,7.65,1,1,FirstMover,LowEffort,0,oozy_skink
11,7,4,1,2,6,6.39,1,1,FirstMover,LowEffort,1,happy_lark
11,8,4,2,2,6,5.74,1,1,FirstMover,LowEffort,1,loopy_cub
11,9,5,1,2,2,3.26,1,1,FirstMover,LowEffort,0,wavy_coypu
11,10,5,2,2,1,7.35,1,1,FirstMover,LowEffort,0,well_orca
11,11,6,1,2,1,5.77,1,1,FirstMover,LowEffort,0,cute_yapok
11,12,6,2,2,3,3.81,1,1,FirstMover,LowEffort,0,regal_asp
11,1,1,1,3,5,5.33,1,1,FirstMover,LowEffort,0,fishy_clam
11,2,1,2,3,2,4.08,1,1,FirstMover,LowEffort,0,nerdy_joey
11,3,2,1,3,4,5.4,1,1,FirstMover,LowEffort,1,coy_kite
11,4,2,2,3,4,15.06,1,1,FirstMover,LowEffort,1,scary_pony
11,5,3,1,3,6,11.34,1,1,FirstMover,LowEffort,0,taut_geese
11,6,3,2,3,1,5.91,1,1,FirstMover,LowEffort,0,oozy_skink
11,7,4,1,3,4,3.82,1,1,FirstMover,LowEffort,0,happy_lark
11,8,4,2,3,6,12.89,1,1,FirstMover,LowEffort,0,loopy_cub
11,9,5,1,3,5,6.76,1,1,FirstMover,LowEffort,1,wavy_coypu
