group,subject,date,team,round,RT,Report,stage,ID.number,PlayerNo,Condition,HighEffort,LowEffort,Order,ShortPartnership,LongPartnership,Double,Age,Gender,H.Hexaco,E.Hexaco,X.Hexaco,A.Hexaco,C.Hexaco,O.Hexaco,SoMi,Study,Continent
17,1,2018_9_26_11_17_37,1,1,13.01,2,1,21139,First Mover,Collaborative,0,1,Mirror,0,1,0,19,0,4.7,4,4.3,4.5,4.7,5.2,2,Business,Asia
17,2,2018_9_26_11_17_54,1,1,9.07,4,2,22634,Second Mover,Collaborative,0,1,Mirror,0,1,0,24,0,4.3,3.7,4.2,3.7,3.6,5.3,3,Business,Asia
17,3,2018_9_26_11_16_47,2,1,7.81,3,1,21846,First Mover,Collaborative,0,1,Mirror,0,1,0,22,1,4,4,4,4.2,4,4.2,2.75,Business,Asia
17,4,2018_9_26_11_16_59,2,1,6.61,2,2,18991,Second Mover,Collaborative,0,1,Mirror,0,1,0,21,1,4.3,4.2,4.8,4.6,5,5.1,2.5,Economics,Europe
17,5,2018_9_26_11_18_27,3,1,17.47,4,1,13251,First Mover,Collaborative,0,1,Mirror,0,1,0,NA,1,5.3,4,4.3,4.1,4.5,5.1,2.25,Humanities,Europe
17,6,2018_9_26_11_18_50,3,1,11.62,5,2,22687,Second Mover,Collaborative,0,1,Mirror,0,1,0,22,1,3.8,4.8,4.2,4.4,3.9,4.2,2.6666666666666665,Science,Asia
17,7,2018_9_26_11_14_17,4,1,7.95,6,1,22548,First Mover,Collaborative,0,1,Mirror,0,1,0,22,1,2.8,3.8,5.4,4,4.3,4,2,Economics,Asia
17,8,2018_9_26_11_14_33,4,1,6.86,1,2,20543,Second Mover,Collaborative,0,1,Mirror,0,1,0,21,1,4,4.1,4.5,4.3,4.6,4.8,2.75,Science,Asia
17,9,2018_9_26_11_23_18,5,1,9.06,6,1,21889,First Mover,Collaborative,0,1,Mirror,0,1,0,33,0,4.2,5.4,4.6,4.3,3.9,4.2,2.3333333333333335,Economics,Asia
17,10,2018_9_26_11_23_36,5,1,5.69,3,2,21661,Second Mover,Collaborative,0,1,Mirror,0,1,0,20,1,2.8,4.8,3.5,3.2,3,4.1,2.6666666666666665,Business,Europe
17,1,2018_9_26_11_18_17,1,2,6.62,4,1,21139,First Mover,Collaborative,0,1,Mirror,0,1,0,19,0,4.7,4,4.3,4.5,4.7,5.2,2,Business,Asia
17,2,2018_9_26_11_18_32,1,2,8.24,2,2,22634,Second Mover,Collaborative,0,1,Mirror,0,1,0,24,0,4.3,3.7,4.2,3.7,3.6,5.3,3,Business,Asia
17,3,2018_9_26_11_17_22,2,2,8.97,5,1,21846,First Mover,Collaborative,0,1,Mirror,0,1,0,22,1,4,4,4,4.2,4,4.2,2.75,Business,Asia
17,4,2018_9_26_11_17_32,2,2,4.43,2,2,18991,Second Mover,Collaborative,0,1,Mirror,0,1,0,21,1,4.3,4.2,4.8,4.6,5,5.1,2.5,Economics,Europe
17,5,2018_9_26_11_19_18,3,2,9.7,2,1,13251,First Mover,Collaborative,0,1,Mirror,0,1,0,NA,1,5.3,4,4.3,4.1,4.5,5.1,2.25,Humanities,Europe
17,6,2018_9_26_11_19_33,3,2,7.64,3,2,22687,Second Mover,Collaborative,0,1,Mirror,0,1,0,22,1,3.8,4.8,4.2,4.4,3.9,4.2,2.6666666666666665,Science,Asia
17,7,2018_9_26_11_14_57,4,2,8.95,6,1,22548,First Mover,Collaborative,0,1,Mirror,0,1,1,22,1,2.8,3.8,5.4,4,4.3,4,2,Economics,Asia
17,8,2018_9_26_11_15_22,4,2,18.41,6,2,20543,Second Mover,Collaborative,0,1,Mirror,0,1,1,21,1,4,4.1,4.5,4.3,4.6,4.8,2.75,Science,Asia
17,9,2018_9_26_11_24_2,5,2,6.14,4,1,21889,First Mover,Collaborative,0,1,Mirror,0,1,0,33,0,4.2,5.4,4.6,4.3,3.9,4.2,2.3333333333333335,Economics,Asia
17,10,2018_9_26_11_24_10,5,2,2.95,3,2,21661,Second Mover,Collaborative,0,1,Mirror,0,1,0,20,1,2.8,4.8,3.5,3.2,3,4.1,2.6666666666666665,Business,Europe
17,1,2018_9_26_11_18_53,1,3,6.26,1,1,21139,First Mover,Collaborative,0,1,Mirror,0,1,0,19,0,4.7,4,4.3,4.5,4.7,5.2,2,Business,Asia
17,2,2018_9_26_11_19_5,1,3,6.98,4,2,22634,Second Mover,Collaborative,0,1,Mirror,0,1,0,24,0,4.3,3.7,4.2,3.7,3.6,5.3,3,Business,Asia
17,3,2018_9_26_11_18_0,2,3,4.49,4,1,21846,First Mover,Collaborative,0,1,Mirror,0,1,0,22,1,4,4,4,4.2,4,4.2,2.75,Business,Asia
17,4,2018_9_26_11_18_11,2,3,3.25,1,2,18991,Second Mover,Collaborative,0,1,Mirror,0,1,0,21,1,4.3,4.2,4.8,4.6,5,5.1,2.5,Economics,Europe
17,5,2018_9_26_11_19_56,3,3,7.38,4,1,13251,First Mover,Collaborative,0,1,Mirror,0,1,0,NA,1,5.3,4,4.3,4.1,4.5,5.1,2.25,Humanities,Europe
17,6,2018_9_26_11_20_8,3,3,6.43,3,2,22687,Second Mover,Collaborative,0,1,Mirror,0,1,0,22,1,3.8,4.8,4.2,4.4,3.9,4.2,2.6666666666666665,Science,Asia
17,7,2018_9_26_11_15_47,4,3,8.11,5,1,22548,First Mover,Collaborative,0,1,Mirror,0,1,1,22,1,2.8,3.8,5.4,4,4.3,4,2,Economics,Asia
17,8,2018_9_26_11_15_57,4,3,5.97,5,2,20543,Second Mover,Collaborative,0,1,Mirror,0,1,1,21,1,4,4.1,4.5,4.3,4.6,4.8,2.75,Science,Asia
17,9,2018_9_26_11_24_30,5,3,7.04,4,1,21889,First Mover,Collaborative,0,1,Mirror,0,1,0,33,0,4.2,5.4,4.6,4.3,3.9,4.2,2.3333333333333335,Economics,Asia
17,10,2018_9_26_11_24_42,5,3,5.13,1,2,21661,Second Mover,Collaborative,0,1,Mirror,0,1,0,20,1,2.8,4.8,3.5,3.2,3,4.1,2.6666666666666665,Business,Europe
