group,subject,date,team,round,RT,Report,stage,ID.number,PlayerNo,Condition,HighEffort,LowEffort,Order,ShortPartnership,LongPartnership,Double,Age,Gender,H.Hexaco,E.Hexaco,X.Hexaco,A.Hexaco,C.Hexaco,O.Hexaco,SoMi,Study,Continent,Effort,Partnership
17,1,2018_9_26_11_17_37,1,1,13.01,2,1,21139,First Mover,Collaborative,0,1,Mirror,0,1,0,19,0,4.7,4,4.3,4.5,4.7,5.2,2,Business,Asia,Low Effort,Long Partnership
17,3,2018_9_26_11_16_47,2,1,7.81,3,1,21846,First Mover,Collaborative,0,1,Mirror,0,1,0,22,1,4,4,4,4.2,4,4.2,2.75,Business,Asia,Low Effort,Long Partnership
17,5,2018_9_26_11_18_27,3,1,17.47,4,1,13251,First Mover,Collaborative,0,1,Mirror,0,1,0,NA,1,5.3,4,4.3,4.1,4.5,5.1,2.25,Humanities,Europe,Low Effort,Long Partnership
17,7,2018_9_26_11_14_17,4,1,7.95,6,1,22548,First Mover,Collaborative,0,1,Mirror,0,1,0,22,1,2.8,3.8,5.4,4,4.3,4,2,Economics,Asia,Low Effort,Long Partnership
17,9,2018_9_26_11_23_18,5,1,9.06,6,1,21889,First Mover,Collaborative,0,1,Mirror,0,1,0,33,0,4.2,5.4,4.6,4.3,3.9,4.2,2.3333333333333335,Economics,Asia,Low Effort,Long Partnership
17,1,2018_9_26_11_18_17,1,2,6.62,4,1,21139,First Mover,Collaborative,0,1,Mirror,0,1,0,19,0,4.7,4,4.3,4.5,4.7,5.2,2,Business,Asia,Low Effort,Long Partnership
17,3,2018_9_26_11_17_22,2,2,8.97,5,1,21846,First Mover,Collaborative,0,1,Mirror,0,1,0,22,1,4,4,4,4.2,4,4.2,2.75,Business,Asia,Low Effort,Long Partnership
17,5,2018_9_26_11_19_18,3,2,9.7,2,1,13251,First Mover,Collaborative,0,1,Mirror,0,1,0,NA,1,5.3,4,4.3,4.1,4.5,5.1,2.25,Humanities,Europe,Low Effort,Long Partnership
17,7,2018_9_26_11_14_57,4,2,8.95,6,1,22548,First Mover,Collaborative,0,1,Mirror,0,1,1,22,1,2.8,3.8,5.4,4,4.3,4,2,Economics,Asia,Low Effort,Long Partnership
17,9,2018_9_26_11_24_2,5,2,6.14,4,1,21889,First Mover,Collaborative,0,1,Mirror,0,1,0,33,0,4.2,5.4,4.6,4.3,3.9,4.2,2.3333333333333335,Economics,Asia,Low Effort,Long Partnership
