group,subject,date,team,round,RT,Report,stage,ID.number,PlayerNo,Condition,HighEffort,LowEffort,Order,ShortPartnership,LongPartnership,Double,Age,Gender,H.Hexaco,E.Hexaco,X.Hexaco,A.Hexaco,C.Hexaco,O.Hexaco,SoMi,Study,Continent,ReportFirstMover,zcReportFirstMover,Effort,Partnership
17,2,2018_9_26_11_17_54,1,1,9.07,4,2,22634,Second Mover,Collaborative,0,1,Mirror,0,1,0,24,0,4.3,3.7,4.2,3.7,3.6,5.3,3,Business,Asia,2,-2.4916020671834627,Low Effort,Long Partnership
17,4,2018_9_26_11_16_59,2,1,6.61,2,2,18991,Second Mover,Collaborative,0,1,Mirror,0,1,0,21,1,4.3,4.2,4.8,4.6,5,5.1,2.5,Economics,Europe,3,-1.4916020671834627,Low Effort,Long Partnership
17,6,2018_9_26_11_18_50,3,1,11.62,5,2,22687,Second Mover,Collaborative,0,1,Mirror,0,1,0,22,1,3.8,4.8,4.2,4.4,3.9,4.2,2.6666666666666665,Science,Asia,4,-0.49160206718346267,Low Effort,Long Partnership
17,8,2018_9_26_11_14_33,4,1,6.86,1,2,20543,Second Mover,Collaborative,0,1,Mirror,0,1,0,21,1,4,4.1,4.5,4.3,4.6,4.8,2.75,Science,Asia,6,1.5083979328165373,Low Effort,Long Partnership
17,10,2018_9_26_11_23_36,5,1,5.69,3,2,21661,Second Mover,Collaborative,0,1,Mirror,0,1,0,20,1,2.8,4.8,3.5,3.2,3,4.1,2.6666666666666665,Business,Europe,6,1.5083979328165373,Low Effort,Long Partnership
17,2,2018_9_26_11_18_32,1,2,8.24,2,2,22634,Second Mover,Collaborative,0,1,Mirror,0,1,0,24,0,4.3,3.7,4.2,3.7,3.6,5.3,3,Business,Asia,4,-0.49160206718346267,Low Effort,Long Partnership
17,4,2018_9_26_11_17_32,2,2,4.43,2,2,18991,Second Mover,Collaborative,0,1,Mirror,0,1,0,21,1,4.3,4.2,4.8,4.6,5,5.1,2.5,Economics,Europe,5,0.5083979328165373,Low Effort,Long Partnership
17,6,2018_9_26_11_19_33,3,2,7.64,3,2,22687,Second Mover,Collaborative,0,1,Mirror,0,1,0,22,1,3.8,4.8,4.2,4.4,3.9,4.2,2.6666666666666665,Science,Asia,2,-2.4916020671834627,Low Effort,Long Partnership
17,8,2018_9_26_11_15_22,4,2,18.41,6,2,20543,Second Mover,Collaborative,0,1,Mirror,0,1,1,21,1,4,4.1,4.5,4.3,4.6,4.8,2.75,Science,Asia,6,1.5083979328165373,Low Effort,Long Partnership
17,10,2018_9_26_11_24_10,5,2,2.95,3,2,21661,Second Mover,Collaborative,0,1,Mirror,0,1,0,20,1,2.8,4.8,3.5,3.2,3,4.1,2.6666666666666665,Business,Europe,4,-0.49160206718346267,Low Effort,Long Partnership
17,2,2018_9_26_11_19_5,1,3,6.98,4,2,22634,Second Mover,Collaborative,0,1,Mirror,0,1,0,24,0,4.3,3.7,4.2,3.7,3.6,5.3,3,Business,Asia,1,-3.4916020671834627,Low Effort,Long Partnership
