Session,SessionSubject,Team,MoverNo,RoundNo,Report,RT,Order,Block,Rewards,Effort,Double,ParticipantId
11,1,1,1,1,6,8.39,1,1,FirstMover,LowEffort,1,rapt_jenny
11,3,2,1,1,5,5.92,1,1,FirstMover,LowEffort,1,comic_esok
11,5,3,1,1,6,16.79,1,1,FirstMover,LowEffort,1,lucky_tiger
11,7,4,1,1,4,9.36,1,1,FirstMover,LowEffort,0,picky_bunny
11,9,5,1,1,3,3.35,1,1,FirstMover,LowEffort,1,silly_steer
11,11,6,1,1,6,6.22,1,1,FirstMover,LowEffort,0,prime_eyra
11,1,1,1,2,5,10.13,1,1,FirstMover,LowEffort,0,rapt_jenny
11,3,2,1,2,1,9.4,1,1,FirstMover,LowEffort,0,comic_esok
11,5,3,1,2,6,9.61,1,1,FirstMover,LowEffort,0,lucky_tiger
11,7,4,1,2,6,6.39,1,1,FirstMover,LowEffort,1,picky_bunny
11,9,5,1,2,2,3.26,1,1,FirstMover,LowEffort,0,silly_steer
11,11,6,1,2,1,5.77,1,1,FirstMover,LowEffort,0,prime_eyra
11,1,1,1,3,5,5.33,1,1,FirstMover,LowEffort,0,rapt_jenny
11,3,2,1,3,4,5.4,1,1,FirstMover,LowEffort,1,comic_esok
11,5,3,1,3,6,11.34,1,1,FirstMover,LowEffort,0,lucky_tiger
11,7,4,1,3,4,3.82,1,1,FirstMover,LowEffort,0,picky_bunny
11,9,5,1,3,5,6.76,1,1,FirstMover,LowEffort,1,silly_steer
11,11,6,1,3,5,3.54,1,1,FirstMover,LowEffort,0,prime_eyra
11,1,1,1,4,2,8.31,1,1,FirstMover,LowEffort,0,rapt_jenny
11,3,2,1,4,3,4.27,1,1,FirstMover,LowEffort,1,comic_esok
11,5,3,1,4,6,7.86,1,1,FirstMover,LowEffort,0,lucky_tiger
11,7,4,1,4,6,5.54,1,1,FirstMover,LowEffort,0,picky_bunny
11,9,5,1,4,2,3.07,1,1,FirstMover,LowEffort,0,silly_steer
11,11,6,1,4,6,7.04,1,1,FirstMover,LowEffort,0,prime_eyra
11,1,1,1,5,3,3.02,1,1,FirstMover,LowEffort,0,rapt_jenny
11,3,2,1,5,4,1.65,1,1,FirstMover,LowEffort,1,comic_esok
11,5,3,1,5,3,5.22,1,1,FirstMover,LowEffort,0,lucky_tiger
11,7,4,1,5,5,3.47,1,1,FirstMover,LowEffort,0,picky_bunny
11,9,5,1,5,4,2.52,1,1,FirstMover,LowEffort,1,silly_steer
11,11,6,1,5,3,2.87,1,1,FirstMover,LowEffort,1,prime_eyra
11,1,1,1,6,4,4.32,1,1,FirstMover,LowEffort,1,rapt_jenny
11,3,2,1,6,4,2.25,1,1,FirstMover,LowEffort,0,comic_esok
11,5,3,1,6,4,5.18,1,1,FirstMover,LowEffort,0,lucky_tiger
11,7,4,1,6,6,5.5,1,1,FirstMover,LowEffort,1,picky_bunny
11,9,5,1,6,4,2.41,1,1,FirstMover,LowEffort,0,silly_steer
11,11,6,1,6,3,5.74,1,1,FirstMover,LowEffort,0,prime_eyra
11,1,1,1,7,3,5.5,1,1,FirstMover,LowEffort,0,rapt_jenny
11,3,2,1,7,6,9.64,1,1,FirstMover,LowEffort,0,comic_esok
11,5,3,1,7,3,4.9,1,1,FirstMover,LowEffort,0,lucky_tiger
11,7,4,1,7,5,3.6,1,1,FirstMover,LowEffort,0,picky_bunny
11,9,5,1,7,5,3.47,1,1,FirstMover,LowEffort,1,silly_steer
11,11,6,1,7,5,3.43,1,1,FirstMover,LowEffort,0,prime_eyra
11,1,1,1,8,5,3.51,1,1,FirstMover,LowEffort,0,rapt_jenny
11,3,2,1,8,4,2.02,1,1,FirstMover,LowEffort,1,comic_esok
11,5,3,1,8,4,3.37,1,1,FirstMover,LowEffort,0,lucky_tiger
11,7,4,1,8,6,3.45,1,1,FirstMover,LowEffort,1,picky_bunny
11,9,5,1,8,4,2.56,1,1,FirstMover,LowEffort,0,silly_steer
11,11,6,1,8,4,3.26,1,1,FirstMover,LowEffort,0,prime_eyra
11,1,1,1,9,4,5.03,1,1,FirstMover,LowEffort,0,rapt_jenny
11,3,2,1,9,3,1.79,1,1,FirstMover,LowEffort,1,comic_esok
11,5,3,1,9,4,5.86,1,1,FirstMover,LowEffort,0,lucky_tiger
11,7,4,1,9,6,2.79,1,1,FirstMover,LowEffort,1,picky_bunny
11,9,5,1,9,5,3.14,1,1,FirstMover,LowEffort,1,silly_steer
11,11,6,1,9,3,2.84,1,1,FirstMover,LowEffort,1,prime_eyra
11,1,1,1,10,6,3.54,1,2,FirstMover,HighEffort,1,rapt_jenny
11,3,2,1,10,2,2.91,1,2,FirstMover,HighEffort,0,comic_esok
11,5,3,1,10,6,3.75,1,2,FirstMover,HighEffort,0,lucky_tiger
11,7,4,1,10,3,3.44,1,2,FirstMover,HighEffort,0,picky_bunny
11,9,5,1,10,6,4.75,1,2,FirstMover,HighEffort,1,silly_steer
11,11,6,1,10,3,5.52,1,2,FirstMover,HighEffort,1,prime_eyra
11,1,1,1,11,5,5.79,1,2,FirstMover,HighEffort,0,rapt_jenny
11,3,2,1,11,5,1.46,1,2,FirstMover,HighEffort,1,comic_esok
11,5,3,1,11,6,4.95,1,2,FirstMover,HighEffort,0,lucky_tiger
11,7,4,1,11,5,5.05,1,2,FirstMover,HighEffort,0,picky_bunny
11,9,5,1,11,1,1.89,1,2,FirstMover,HighEffort,0,silly_steer
11,11,6,1,11,6,3.96,1,2,FirstMover,HighEffort,0,prime_eyra
11,1,1,1,12,6,4.06,1,2,FirstMover,HighEffort,0,rapt_jenny
11,3,2,1,12,3,1.72,1,2,FirstMover,HighEffort,0,comic_esok
11,5,3,1,12,6,2.96,1,2,FirstMover,HighEffort,1,lucky_tiger
11,7,4,1,12,4,3.03,1,2,FirstMover,HighEffort,1,picky_bunny
11,9,5,1,12,3,4.18,1,2,FirstMover,HighEffort,0,silly_steer
11,11,6,1,12,3,3.28,1,2,FirstMover,HighEffort,0,prime_eyra
11,1,1,1,13,5,6.55,1,2,FirstMover,HighEffort,0,rapt_jenny
11,3,2,1,13,4,4.63,1,2,FirstMover,HighEffort,0,comic_esok
11,5,3,1,13,6,3.24,1,2,FirstMover,HighEffort,1,lucky_tiger
11,7,4,1,13,5,3.05,1,2,FirstMover,HighEffort,1,picky_bunny
11,9,5,1,13,4,2.78,1,2,FirstMover,HighEffort,0,silly_steer
11,11,6,1,13,1,3.17,1,2,FirstMover,HighEffort,0,prime_eyra
11,1,1,1,14,5,3.73,1,2,FirstMover,HighEffort,1,rapt_jenny
11,3,2,1,14,6,2.27,1,2,FirstMover,HighEffort,1,comic_esok
11,5,3,1,14,6,3.09,1,2,FirstMover,HighEffort,1,lucky_tiger
11,7,4,1,14,2,2.21,1,2,FirstMover,HighEffort,0,picky_bunny
11,9,5,1,14,6,2.07,1,2,FirstMover,HighEffort,0,silly_steer
11,11,6,1,14,1,3.12,1,2,FirstMover,HighEffort,1,prime_eyra
11,1,1,1,15,5,4.35,1,2,FirstMover,HighEffort,1,rapt_jenny
11,3,2,1,15,3,1.63,1,2,FirstMover,HighEffort,0,comic_esok
11,5,3,1,15,6,3.77,1,2,FirstMover,HighEffort,1,lucky_tiger
11,7,4,1,15,6,2.37,1,2,FirstMover,HighEffort,0,picky_bunny
11,9,5,1,15,5,3.61,1,2,FirstMover,HighEffort,1,silly_steer
11,11,6,1,15,2,4.84,1,2,FirstMover,HighEffort,1,prime_eyra
11,1,1,1,16,6,7.38,1,2,FirstMover,HighEffort,1,rapt_jenny
11,3,2,1,16,6,2.59,1,2,FirstMover,HighEffort,0,comic_esok
11,5,3,1,16,6,3.93,1,2,FirstMover,HighEffort,1,lucky_tiger
11,7,4,1,16,4,6.38,1,2,FirstMover,HighEffort,1,picky_bunny
11,9,5,1,16,2,3.39,1,2,FirstMover,HighEffort,0,silly_steer
11,11,6,1,16,1,5.19,1,2,FirstMover,HighEffort,0,prime_eyra
11,1,1,1,17,3,4.45,1,2,FirstMover,HighEffort,0,rapt_jenny
11,3,2,1,17,4,5.21,1,2,FirstMover,HighEffort,0,comic_esok
11,5,3,1,17,6,18.1,1,2,FirstMover,HighEffort,0,lucky_tiger
11,7,4,1,17,3,4.08,1,2,FirstMover,HighEffort,0,picky_bunny
11,9,5,1,17,2,2.1,1,2,FirstMover,HighEffort,0,silly_steer
11,11,6,1,17,2,4.63,1,2,FirstMover,HighEffort,1,prime_eyra
11,1,1,1,18,6,2.92,1,2,FirstMover,HighEffort,0,rapt_jenny
11,3,2,1,18,3,3.31,1,2,FirstMover,HighEffort,0,comic_esok
11,5,3,1,18,5,8.58,1,2,FirstMover,HighEffort,1,lucky_tiger
11,7,4,1,18,4,3.25,1,2,FirstMover,HighEffort,0,picky_bunny
11,9,5,1,18,5,3.17,1,2,FirstMover,HighEffort,1,silly_steer
11,11,6,1,18,3,3.13,1,2,FirstMover,HighEffort,0,prime_eyra
11,1,1,1,19,5,3.45,1,3,Joint,HighEffort,0,rapt_jenny
11,3,2,1,19,4,4.32,1,3,Joint,HighEffort,1,comic_esok
11,5,3,1,19,6,2.5,1,3,Joint,HighEffort,0,lucky_tiger
