Date,Session,SessionSubject,Team,MoverNo,RoundNo,Report,RT
2019_3_4_11_19_7,11,9,5,1,1,3,3.35
2019_3_4_11_20_55,11,3,2,1,1,5,5.92
2019_3_4_11_21_15,11,11,6,1,1,6,6.22
2019_3_4_11_21_36,11,1,1,1,1,6,8.39
2019_3_4_11_21_45,11,5,3,1,1,6,16.79
2019_3_4_11_21_48,11,7,4,1,1,4,9.36
2019_3_4_11_21_50,11,2,1,2,1,6,4.03
2019_3_4_11_21_59,11,4,2,2,1,5,4.54
2019_3_4_11_22_19,11,1,1,1,2,5,10.13
2019_3_4_11_22_26,11,3,2,1,2,1,9.4
2019_3_4_11_22_31,11,2,1,2,2,4,5.5
2019_3_4_11_22_32,11,6,3,2,1,6,9.24
2019_3_4_11_22_42,11,4,2,2,2,3,3.7
2019_3_4_11_22_56,11,1,1,1,3,5,5.33
2019_3_4_11_22_58,11,5,3,1,2,6,9.61
2019_3_4_11_23_1,11,3,2,1,3,4,5.4
2019_3_4_11_23_8,11,8,4,2,1,3,4.9
2019_3_4_11_23_10,11,2,1,2,3,2,4.08
2019_3_4_11_23_13,11,6,3,2,2,3,7.65
2019_3_4_11_23_23,11,4,2,2,3,4,15.06
2019_3_4_11_23_30,11,7,4,1,2,6,6.39
2019_3_4_11_23_39,11,5,3,1,3,6,11.34
2019_3_4_11_23_43,11,12,6,2,1,1,7.94
2019_3_4_11_23_45,11,8,4,2,2,6,5.74
2019_3_4_11_23_55,11,6,3,2,3,1,5.91
2019_3_4_11_24_4,11,7,4,1,3,4,3.82
2019_3_4_11_24_8,11,11,6,1,2,1,5.77
2019_3_4_11_24_13,11,1,1,1,4,2,8.31
2019_3_4_11_24_15,11,3,2,1,4,3,4.27
2019_3_4_11_24_20,11,12,6,2,2,3,3.81
2019_3_4_11_24_24,11,2,1,2,4,4,3.23
2019_3_4_11_24_24,11,8,4,2,3,6,12.89
2019_3_4_11_24_28,11,4,2,2,4,3,3.59
2019_3_4_11_24_30,11,10,5,2,1,3,6.7
2019_3_4_11_24_36,11,11,6,1,3,5,3.54
2019_3_4_11_24_41,11,1,1,1,5,3,3.02
2019_3_4_11_24_41,11,3,2,1,5,4,1.65
2019_3_4_11_24_50,11,5,3,1,4,6,7.86
2019_3_4_11_24_53,11,4,2,2,5,4,3.96
2019_3_4_11_24_53,11,2,1,2,5,1,4
2019_3_4_11_24_57,11,9,5,1,2,2,3.26
2019_3_4_11_24_57,11,12,6,2,3,3,2.44
2019_3_4_11_25_5,11,6,3,2,4,1,6.97
2019_3_4_11_25_9,11,3,2,1,6,4,2.25
2019_3_4_11_25_11,11,1,1,1,6,4,4.32
2019_3_4_11_25_12,11,7,4,1,4,6,5.54
2019_3_4_11_25_20,11,8,4,2,4,3,2.69
2019_3_4_11_25_21,11,10,5,2,2,1,7.35
2019_3_4_11_25_21,11,4,2,2,6,2,2.53
2019_3_4_11_25_21,11,2,1,2,6,4,3.44
2019_3_4_11_25_25,11,5,3,1,5,3,5.22
2019_3_4_11_25_36,11,7,4,1,5,5,3.47
2019_3_4_11_25_42,11,9,5,1,3,5,6.76
2019_3_4_11_25_43,11,6,3,2,5,6,8.32
2019_3_4_11_25_49,11,8,4,2,5,6,5.09
2019_3_4_11_25_56,11,11,6,1,4,6,7.04
2019_3_4_11_26_2,11,10,5,2,3,5,13.2
2019_3_4_11_26_4,11,5,3,1,6,4,5.18
2019_3_4_11_26_10,11,7,4,1,6,6,5.5
2019_3_4_11_26_11,11,12,6,2,4,5,6.6
2019_3_4_11_26_12,11,3,2,1,7,6,9.64
2019_3_4_11_26_18,11,1,1,1,7,3,5.5
2019_3_4_11_26_22,11,8,4,2,6,6,3
2019_3_4_11_26_26,11,6,3,2,6,2,10.95
2019_3_4_11_26_27,11,4,2,2,7,1,8.33
2019_3_4_11_26_27,11,2,1,2,7,2,2.36
2019_3_4_11_26_31,11,11,6,1,5,3,2.87
2019_3_4_11_26_45,11,3,2,1,8,4,2.02
2019_3_4_11_26_47,11,1,1,1,8,5,3.51
2019_3_4_11_26_48,11,12,6,2,5,3,2.11
2019_3_4_11_26_57,11,2,1,2,8,4,1.67
2019_3_4_11_26_58,11,9,5,1,4,2,3.07
2019_3_4_11_27_1,11,7,4,1,7,5,3.6
2019_3_4_11_27_8,11,11,6,1,6,3,5.74
2019_3_4_11_27_13,11,10,5,2,4,3,5.82
2019_3_4_11_27_13,11,8,4,2,7,3,4.21
2019_3_4_11_27_13,11,4,2,2,8,4,14.04
2019_3_4_11_27_17,11,1,1,1,9,4,5.03
2019_3_4_11_27_20,11,5,3,1,7,3,4.9
2019_3_4_11_27_21,11,12,6,2,6,6,2.04
2019_3_4_11_27_28,11,3,2,1,9,3,1.79
2019_3_4_11_27_28,11,7,4,1,8,6,3.45
2019_3_4_11_27_29,11,2,1,2,9,1,3.62
