date,group,subject,team,label,response,comment
2018_6_7_10_27_20,93,1,1,roll1,1,actual_number: 3; reaction_time: 2.75
2018_6_7_10_27_22,93,2,1,roll1,5,actual_number: 6; reaction_time: 3.03
2018_6_7_10_27_26,93,1,1,roll2,4,actual_number: 2; reaction_time: 2.6
2018_6_7_10_27_28,93,2,1,roll2,4,actual_number: 4; reaction_time: 2.44
2018_6_7_10_27_31,93,1,1,roll3,4,actual_number: 2; reaction_time: 1.26
2018_6_7_10_27_33,93,2,1,roll3,5,actual_number: 5; reaction_time: 1.61
2018_6_7_10_27_36,93,1,1,roll4,4,actual_number: 5; reaction_time: 1.45
2018_6_7_10_27_39,93,2,1,roll4,5,actual_number: 5; reaction_time: 1.62
2018_6_7_10_27_41,93,1,1,roll5,5,actual_number: 3; reaction_time: 1.3
2018_6_7_10_28_7,93,2,1,roll5,2,actual_number: 2; reaction_time: 25.09
2018_6_7_10_29_5,99,1,1,roll1,3,actual_number: 3; reaction_time: 2.05
2018_6_7_10_29_37,97,1,1,roll1,1,actual_number: 3; reaction_time: 1.35
2018_6_7_10_29_42,97,1,1,roll2,2,actual_number: 2; reaction_time: 1.35
2018_6_7_10_29_47,97,1,1,roll3,5,actual_number: 5; reaction_time: 1.5
2018_6_7_10_29_52,97,1,1,roll4,4,actual_number: 4; reaction_time: 1.31
2018_6_7_10_29_56,97,1,1,roll5,4,actual_number: 5; reaction_time: 1.24
2018_6_7_10_30_13,93,1,1,Q1,d,
2018_6_7_10_30_13,93,1,1,Q2,d,
2018_6_7_10_30_13,93,1,1,Q3,b,
2018_6_7_10_30_17,93,2,1,Q1,d,
2018_6_7_10_30_17,93,2,1,Q2,d,
2018_6_7_10_30_17,93,2,1,Q3,b,
2018_6_7_11_54_50,1,7,4,roll1,5,actual_number: 5; reaction_time: 8.39
2018_6_7_11_54_57,1,7,4,roll2,5,actual_number: 5; reaction_time: 3.66
2018_6_7_11_55_4,1,7,4,roll3,2,actual_number: 2; reaction_time: 3.51
2018_6_7_11_59_1,1,3,2,roll1,3,actual_number: 3; reaction_time: 283.34
2018_6_7_11_59_1,1,7,4,roll4,6,actual_number: 6; reaction_time: 233.73
2018_6_7_11_59_4,1,4,2,roll1,3,actual_number: 3; reaction_time: 4.54
2018_6_7_11_59_9,1,3,2,roll2,6,actual_number: 6; reaction_time: 4.21
2018_6_7_11_59_9,1,2,1,roll1,2,actual_number: 2; reaction_time: 6.66
2018_6_7_11_59_10,1,7,4,roll5,5,actual_number: 5; reaction_time: 4.84
2018_6_7_11_59_10,1,4,2,roll2,3,actual_number: 3; reaction_time: 2.15
2018_6_7_11_59_15,1,4,2,roll3,2,actual_number: 2; reaction_time: 1.72
2018_6_7_11_59_15,1,3,2,roll3,4,actual_number: 4; reaction_time: 3.08
2018_6_7_11_59_17,1,2,1,roll2,4,actual_number: 4; reaction_time: 4.21
2018_6_7_11_59_20,1,4,2,roll4,4,actual_number: 4; reaction_time: 1.87
2018_6_7_11_59_23,1,3,2,roll4,1,actual_number: 1; reaction_time: 4.04
2018_6_7_11_59_24,1,2,1,roll3,2,actual_number: 2; reaction_time: 3.71
2018_6_7_11_59_26,1,4,2,roll5,4,actual_number: 4; reaction_time: 1.83
2018_6_7_11_59_29,1,5,3,roll1,4,actual_number: 4; reaction_time: 5.46
2018_6_7_11_59_29,1,3,2,roll5,4,actual_number: 4; reaction_time: 2.66
2018_6_7_11_59_32,1,8,4,roll1,3,actual_number: 3; reaction_time: 4.03
2018_6_7_11_59_32,1,2,1,roll4,5,actual_number: 5; reaction_time: 4.22
2018_6_7_11_59_33,1,6,3,roll1,2,actual_number: 2; reaction_time: 5.52
2018_6_7_11_59_36,1,5,3,roll2,1,actual_number: 1; reaction_time: 4.18
2018_6_7_11_59_38,1,1,1,roll1,6,actual_number: 6; reaction_time: 7.73
2018_6_7_11_59_39,1,8,4,roll2,1,actual_number: 1; reaction_time: 4.01
2018_6_7_11_59_40,1,2,1,roll5,6,actual_number: 6; reaction_time: 3.88
2018_6_7_11_59_41,1,6,3,roll2,4,actual_number: 2; reaction_time: 3.95
2018_6_7_11_59_43,1,5,3,roll3,6,actual_number: 6; reaction_time: 3.3
2018_6_7_11_59_46,1,8,4,roll3,6,actual_number: 6; reaction_time: 3.44
2018_6_7_11_59_48,1,6,3,roll3,4,actual_number: 4; reaction_time: 3.51
2018_6_7_11_59_50,1,5,3,roll4,6,actual_number: 6; reaction_time: 2.73
2018_6_7_11_59_50,1,1,1,roll2,3,actual_number: 3; reaction_time: 7.82
2018_6_7_11_59_53,1,8,4,roll4,5,actual_number: 5; reaction_time: 3.1
2018_6_7_11_59_54,1,6,3,roll4,4,actual_number: 4; reaction_time: 2.73
2018_6_7_11_59_57,1,5,3,roll5,6,actual_number: 6; reaction_time: 3.88
2018_6_7_11_59_58,1,1,1,roll3,4,actual_number: 4; reaction_time: 4.85
2018_6_7_11_59_59,1,8,4,roll5,3,actual_number: 3; reaction_time: 2.62
2018_6_7_12_0_2,1,6,3,roll5,6,actual_number: 6; reaction_time: 4.75
2018_6_7_12_0_8,1,1,1,roll4,5,actual_number: 5; reaction_time: 6
2018_6_7_12_0_16,1,1,1,roll5,1,actual_number: 1; reaction_time: 4.88
2018_6_7_12_1_44,1,4,2,Q1,d,
2018_6_7_12_1_44,1,4,2,Q2,d,
2018_6_7_12_1_44,1,4,2,Q3,b,
2018_6_7_12_1_48,1,3,2,Q1,d,
2018_6_7_12_1_48,1,3,2,Q2,d,
2018_6_7_12_1_48,1,3,2,Q3,b,
2018_6_7_12_1_58,1,1,1,Q1,d,
2018_6_7_12_1_58,1,1,1,Q2,d,
2018_6_7_12_1_58,1,1,1,Q3,b,
2018_6_7_12_2_36,1,6,3,Q1,d,
2018_6_7_12_2_36,1,6,3,Q2,d,
2018_6_7_12_2_36,1,6,3,Q3,b,
2018_6_7_12_2_52,1,5,3,Q1,d,
2018_6_7_12_2_52,1,5,3,Q2,d,
2018_6_7_12_2_52,1,5,3,Q3,b,
2018_6_7_12_4_3,1,2,1,Q1,d,
2018_6_7_12_4_3,1,2,1,Q2,d,
2018_6_7_12_4_3,1,2,1,Q3,b,
2018_6_7_12_4_4,1,7,4,Q1,d,
2018_6_7_12_4_4,1,7,4,Q2,d,
2018_6_7_12_4_4,1,7,4,Q3,b,
2018_6_7_12_4_33,1,8,4,Q1,d,
2018_6_7_12_4_33,1,8,4,Q2,d,
2018_6_7_12_4_33,1,8,4,Q3,b,
2018_6_17_11_39_23,2,1,1,roll101,3,actual_number: 8; reaction_time: 22.35
2018_6_17_11_39_26,2,2,1,roll101,3,actual_number: 8; reaction_time: 22.67
2018_6_17_11_39_31,2,3,2,roll101,4,actual_number: 8; reaction_time: 24.07
2018_6_17_11_39_36,2,4,2,roll101,4,actual_number: 8; reaction_time: 26.88
2018_6_17_11_39_41,2,1,1,roll102,3,actual_number: 8; reaction_time: 15.57
2018_6_17_11_39_45,2,1,1,roll103,3,actual_number: 8; reaction_time: 1.98
2018_6_17_11_39_51,2,2,1,roll102,3,actual_number: 8; reaction_time: 22.85
2018_6_17_11_39_56,2,2,1,roll103,3,actual_number: 8; reaction_time: 1.97
2018_6_17_11_40_5,2,3,2,roll102,4,actual_number: 8; reaction_time: 30.9
2018_6_17_11_40_11,2,3,2,roll103,4,actual_number: 8; reaction_time: 3.63
2018_6_17_11_40_22,2,4,2,roll102,4,actual_number: 8; reaction_time: 43.38
2018_6_17_11_40_26,2,4,2,roll103,4,actual_number: 8; reaction_time: 1.7
2018_6_17_11_40_32,2,4,2,roll104,4,actual_number: 8; reaction_time: 2.31
2018_6_17_11_40_36,2,4,2,roll105,4,actual_number: 8; reaction_time: 2.28
